"","Rubrica","UF","Data","Valor"
"5227","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-02-28",145776788
"5228","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-02-28",384952572
"5229","Total-Receitas","GO","2015-02-28",1775936299
"5230","Total-Despesas","GO","2015-02-28",1776448045
"5231","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2015-03-31",520790113
"5232","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-03-31",111737263
"5233","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-03-31",256585729
"5234","Total-Receitas","GO","2015-03-31",1713495480
"5235","Total-Despesas","GO","2015-03-31",1641910538
"5236","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2015-04-30",486157326
"5237","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-04-30",100909388
"5238","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-04-30",261359697
"5239","Total-Receitas","GO","2015-04-30",1968379462
"5240","Total-Despesas","GO","2015-04-30",1626393094
"5241","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2015-05-31",596756484
"5242","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-05-31",129191795
"5243","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-05-31",317472522
"5244","Total-Receitas","GO","2015-05-31",1858497715
"5245","Total-Despesas","GO","2015-05-31",1781875276
"5246","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2015-06-30",618791393
"5247","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-06-30",127506991
"5248","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-06-30",307771098
"5249","Total-Receitas","GO","2015-06-30",1847127615
"5250","Total-Despesas","GO","2015-06-30",1735986336
"5251","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2015-07-31",610068300
"5252","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-07-31",124466928
"5253","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-07-31",294996299
"5254","Total-Receitas","GO","2015-07-31",1844598115
"5255","Total-Despesas","GO","2015-07-31",1785063332
"5256","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2015-08-31",555757661
"5257","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-08-31",121731609
"5258","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-08-31",304671767
"5259","Total-Receitas","GO","2015-08-31",1939768763
"5260","Total-Despesas","GO","2015-08-31",1688826917
"5261","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2015-09-30",621980890
"5262","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-09-30",138643784
"5263","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-09-30",363941758
"5264","Total-Receitas","GO","2015-09-30",2030353762
"5265","Total-Despesas","GO","2015-09-30",1872697269
"5266","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2015-10-31",601315004
"5267","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-10-31",119691225
"5268","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-10-31",265287224
"5269","Total-Receitas","GO","2015-10-31",1936394409
"5270","Total-Despesas","GO","2015-10-31",1758745213
"5271","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2015-11-30",488702271
"5272","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-11-30",73018752
"5273","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-11-30",226798719
"5274","Total-Receitas","GO","2015-11-30",1859616605
"5275","Total-Despesas","GO","2015-11-30",1548703331
"5276","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2015-12-31",742023994
"5277","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2015-12-31",186885399
"5278","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2015-12-31",406252237
"5279","Total-Receitas","GO","2015-12-31",2416848912
"5280","Total-Despesas","GO","2015-12-31",2422704546
"5281","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-01-31",639473522
"5282","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-01-31",110207366
"5283","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-01-31",352557967
"5284","Total-Receitas","GO","2016-01-31",1931176912
"5285","Total-Despesas","GO","2016-01-31",1684584203
"5286","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-02-29",710809246
"5287","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-02-29",141459098
"5288","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-02-29",365440813
"5289","Total-Receitas","GO","2016-02-29",1933068846
"5290","Total-Despesas","GO","2016-02-29",1884194374
"5291","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-03-31",647808085
"5292","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-03-31",124826268
"5293","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-03-31",358565239
"5294","Total-Receitas","GO","2016-03-31",1979123650
"5295","Total-Despesas","GO","2016-03-31",1872870550
"5296","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-04-30",659295923
"5297","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-04-30",118792514
"5298","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-04-30",336473685
"5299","Total-Receitas","GO","2016-04-30",2128045874
"5300","Total-Despesas","GO","2016-04-30",1897827162
"5301","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-05-31",622871172
"5302","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-05-31",123661836
"5303","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-05-31",295728106
"5304","Total-Receitas","GO","2016-05-31",2324445683
"5305","Total-Despesas","GO","2016-05-31",1964783843
"5306","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-06-30",633437866
"5307","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-06-30",110489751
"5308","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-06-30",372301123
"5309","Total-Receitas","GO","2016-06-30",2208695527
"5310","Total-Despesas","GO","2016-06-30",2012068545
"5311","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-07-31",634096587
"5312","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-07-31",113832853
"5313","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-07-31",337235455
"5314","Total-Receitas","GO","2016-07-31",2128318168
"5315","Total-Despesas","GO","2016-07-31",1963973775
"5316","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-08-31",665010780
"5317","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-08-31",128295511
"5318","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-08-31",353551338
"5319","Total-Receitas","GO","2016-08-31",1988912451
"5320","Total-Despesas","GO","2016-08-31",1942418045
"5321","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-09-30",615326544
"5322","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-09-30",113355162
"5323","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-09-30",320892914
"5324","Total-Receitas","GO","2016-09-30",1945838612
"5325","Total-Despesas","GO","2016-09-30",1801964755
"5326","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-10-31",630453645
"5327","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-10-31",118834052
"5328","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-10-31",341537709
"5329","Total-Receitas","GO","2016-10-31",1935829136
"5330","Total-Despesas","GO","2016-10-31",1867622224
"5331","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-11-30",504187856
"5332","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-11-30",96377694
"5333","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-11-30",256200467
"5334","Total-Receitas","GO","2016-11-30",2061526968
"5335","Total-Despesas","GO","2016-11-30",1629120033
"5336","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2016-12-31",806885505
"5337","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2016-12-31",147980898
"5338","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2016-12-31",440949119
"5339","Total-Receitas","GO","2016-12-31",2523186972
"5340","Total-Despesas","GO","2016-12-31",2700293589
"5341","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-01-31",692036191
"5342","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-01-31",119332748
"5343","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-01-31",418188414
"5344","Total-Receitas","GO","2017-01-31",2048697523
"5345","Total-Despesas","GO","2017-01-31",1807907624
"5346","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-02-28",700851724
"5347","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-02-28",140274487
"5348","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-02-28",322465208
"5349","Total-Receitas","GO","2017-02-28",1983722252
"5350","Total-Despesas","GO","2017-02-28",1855865098
"5351","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-03-31",700103457
"5352","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-03-31",119325726
"5353","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-03-31",458266142
"5354","Total-Receitas","GO","2017-03-31",2006538755
"5355","Total-Despesas","GO","2017-03-31",2069982536
"5356","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-04-30",644597780
"5357","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-04-30",131300448
"5358","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-04-30",256764716
"5359","Total-Receitas","GO","2017-04-30",2225569682
"5360","Total-Despesas","GO","2017-04-30",1877959964
"5361","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-05-31",653302492
"5362","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-05-31",128645073
"5363","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-05-31",373160108
"5364","Total-Receitas","GO","2017-05-31",2201853399
"5365","Total-Despesas","GO","2017-05-31",2032194245
"5366","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-06-30",678581050
"5367","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-06-30",119592132
"5368","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-06-30",335055075
"5369","Total-Receitas","GO","2017-06-30",2167424699
"5370","Total-Despesas","GO","2017-06-30",1983028001
"5371","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-07-31",724925384
"5372","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-07-31",123968483
"5373","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-07-31",339299004
"5374","Total-Receitas","GO","2017-07-31",2096687964
"5375","Total-Despesas","GO","2017-07-31",2099946587
"5376","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-08-31",736476023
"5377","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-08-31",148408335
"5378","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-08-31",437785953
"5379","Total-Receitas","GO","2017-08-31",2384889034
"5380","Total-Despesas","GO","2017-08-31",2234810940
"5381","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-09-30",721040937
"5382","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-09-30",129704750
"5383","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-09-30",383091232
"5384","Total-Receitas","GO","2017-09-30",2316889767
"5385","Total-Despesas","GO","2017-09-30",2216972487
"5386","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-10-31",673867968
"5387","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-10-31",130279158
"5388","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-10-31",358637031
"5389","Total-Receitas","GO","2017-10-31",2334184593
"5390","Total-Despesas","GO","2017-10-31",2187054471
"5391","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-11-30",544086301
"5392","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-11-30",119366897
"5393","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-11-30",276650403
"5394","Total-Receitas","GO","2017-11-30",2360468813
"5395","Total-Despesas","GO","2017-11-30",2030593739
"5396","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","GO","2017-12-31",888299792
"5397","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","GO","2017-12-31",147602030
"5398","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","GO","2017-12-31",485005963
"5399","Total-Receitas","GO","2017-12-31",2985258456
"5400","Total-Despesas","GO","2017-12-31",3132432470
"5401","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-01-31",136019593
"5402","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-01-31",22113073
"5403","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-01-31",44511041
"5404","Total-Receitas","MA","2008-01-31",558379460
"5405","Total-Despesas","MA","2008-01-31",259139587
"5406","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-02-29",148542292
"5407","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-02-29",26624470
"5408","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-02-29",47387409
"5409","Total-Receitas","MA","2008-02-29",557614288
"5410","Total-Despesas","MA","2008-02-29",320490174
"5411","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-03-31",179249184
"5412","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-03-31",25577600
"5413","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-03-31",60068907
"5414","Total-Receitas","MA","2008-03-31",558667170
"5415","Total-Despesas","MA","2008-03-31",409904842
"5416","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-04-30",195531604
"5417","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-04-30",38611933
"5418","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-04-30",60965480
"5419","Total-Receitas","MA","2008-04-30",588521157
"5420","Total-Despesas","MA","2008-04-30",499513988
"5421","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-05-31",210593420
"5422","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-05-31",38027590
"5423","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-05-31",74216555
"5424","Total-Receitas","MA","2008-05-31",570620116
"5425","Total-Despesas","MA","2008-05-31",541457081
"5426","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-06-30",214981623
"5427","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-06-30",34861587
"5428","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-06-30",63221693
"5429","Total-Receitas","MA","2008-06-30",541894484
"5430","Total-Despesas","MA","2008-06-30",541469464
"5431","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-07-31",179291348
"5432","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-07-31",31370682
"5433","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-07-31",47097320
"5434","Total-Receitas","MA","2008-07-31",559773712
"5435","Total-Despesas","MA","2008-07-31",481773181
"5436","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-08-31",171019566
"5437","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-08-31",28627841
"5438","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-08-31",66034591
"5439","Total-Receitas","MA","2008-08-31",636401097
"5440","Total-Despesas","MA","2008-08-31",492854748
"5441","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-09-30",142545022
"5442","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-09-30",23214100
"5443","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-09-30",44851399
"5444","Total-Receitas","MA","2008-09-30",585061394
"5445","Total-Despesas","MA","2008-09-30",530631254
"5446","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-10-31",139392591
"5447","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-10-31",25073978
"5448","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-10-31",46199549
"5449","Total-Receitas","MA","2008-10-31",597756104
"5450","Total-Despesas","MA","2008-10-31",539941625
"5451","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-11-30",168466549
"5452","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-11-30",32500027
"5453","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-11-30",59397423
"5454","Total-Receitas","MA","2008-11-30",717654374
"5455","Total-Despesas","MA","2008-11-30",580475479
"5456","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2008-12-31",246054059
"5457","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2008-12-31",38495833
"5458","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2008-12-31",74470826
"5459","Total-Receitas","MA","2008-12-31",695030319
"5460","Total-Despesas","MA","2008-12-31",806080769
"5461","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-01-31",150935287
"5462","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-01-31",7966879
"5463","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-01-31",48040051
"5464","Total-Receitas","MA","2009-01-31",572457684
"5465","Total-Despesas","MA","2009-01-31",260967249
"5466","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-02-28",182675226
"5467","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-02-28",6508577
"5468","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-02-28",57204057
"5469","Total-Receitas","MA","2009-02-28",513272889
"5470","Total-Despesas","MA","2009-02-28",429406217
"5471","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-03-31",187523801
"5472","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-03-31",8030767
"5473","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-03-31",62042943
"5474","Total-Receitas","MA","2009-03-31",506822115
"5475","Total-Despesas","MA","2009-03-31",894312667
"5476","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-04-30",194110877
"5477","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-04-30",8528471
"5478","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-04-30",58351348
"5479","Total-Receitas","MA","2009-04-30",595584866
"5480","Total-Despesas","MA","2009-04-30",837565019
"5481","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-05-31",198744046
"5482","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-05-31",8760920
"5483","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-05-31",67018992
"5484","Total-Receitas","MA","2009-05-31",638994129
"5485","Total-Despesas","MA","2009-05-31",392736811
"5486","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-06-30",210254827
"5487","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-06-30",8985658
"5488","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-06-30",62007882
"5489","Total-Receitas","MA","2009-06-30",681327562
"5490","Total-Despesas","MA","2009-06-30",238249737
"5491","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-07-31",191147816
"5492","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-07-31",7755658
"5493","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-07-31",62859307
"5494","Total-Receitas","MA","2009-07-31",575598373
"5495","Total-Despesas","MA","2009-07-31",434435484
"5496","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-08-31",181959920
"5497","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-08-31",8433594
"5498","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-08-31",54844990
"5499","Total-Receitas","MA","2009-08-31",585266776
"5500","Total-Despesas","MA","2009-08-31",507247005
"5501","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-09-30",183940289
"5502","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-09-30",8166445
"5503","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-09-30",62927307
"5504","Total-Receitas","MA","2009-09-30",555275891
"5505","Total-Despesas","MA","2009-09-30",502295623
"5506","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-10-31",189333767
"5507","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-10-31",8030024
"5508","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-10-31",54829459
"5509","Total-Receitas","MA","2009-10-31",584038524
"5510","Total-Despesas","MA","2009-10-31",521474465
"5511","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-11-30",215902100
"5512","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-11-30",8757482
"5513","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-11-30",73878740
"5514","Total-Receitas","MA","2009-11-30",676605410
"5515","Total-Despesas","MA","2009-11-30",689334682
"5516","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2009-12-31",340559232
"5517","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2009-12-31",15387535
"5518","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2009-12-31",101668116
"5519","Total-Receitas","MA","2009-12-31",733580655
"5520","Total-Despesas","MA","2009-12-31",1102887474
"5521","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2010-01-31",208472338
"5522","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2010-01-31",9302081
"5523","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2010-01-31",69829794
"5524","Total-Receitas","MA","2010-01-31",607123934
"5525","Total-Despesas","MA","2010-01-31",438905885
"5526","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2010-02-28",216191160
"5527","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2010-02-28",12659378
"5528","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MA","2010-02-28",62644326
"5529","Total-Receitas","MA","2010-02-28",577656038
"5530","Total-Despesas","MA","2010-02-28",452520234
"5531","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MA","2010-03-31",234211231
"5532","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MA","2010-03-31",12385975
